title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Town of Cary : Newsroom;http://www.townofcary.org/connect-engage/newsroom;"""When I get a text update with a link";"I need the link to go directly to more info about the subject of the text!!""";1;1/26/2017 10:12;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;looking for portal to get tax info on classes we took at town of cary for 2016.;1;2/3/2017 15:40;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Newsroom;http://www.townofcary.org/connect-engage/newsroom;Love this page!;5;2/2/2017 14:53;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Fred G. Bond Metro Park;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/fred-g-bond-metro-park;;5;1/31/2017 20:46;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Community Center;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center;;4;2/2/2017 9:37;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Don Frantz;http://www.townofcary.org/mayor-council/town-council/council-members/don-frantz;;5;2/4/2017 9:10;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Services & Publications;http://www.townofcary.org/services-publications;;5;2/2/2017 15:04;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;;5;1/26/2017 10:16;;;;;;;;;;;;;;;;;;;;;;;
Pressure Zone Modification | Town of Cary;http://www.townofcary.org/services-publications/water-sewer-stormwater/water/water-pressure/pressure-zone-modification;"""Rating 0 of 1 star. With Firefox";"Chrome and Edge I get the following message: Unable to create map: Unable to load the base map layer (Unable to load https://services.arcgisonline.com/ArcGIS/rest/services/Canvas/World_Light_Gray_Base/MapServer?f=json status: 0 [url:https://services.arcgisonline.com/ArcGIS/rest/services/Canvas/World_Light_Gray_Base/MapServer]) 2017 - 2019 Town of Cary Pressure Zone Shift""";1;10/4/2017 15:38;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Inspections & Permits | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/inspections-permits;"""Hello";I can't find any information in case I am moving my staffs;is there any notice that I must to do?;"the move will occur tomorrow""";4;10/2/2017 10:30;Content/Function Requests;;;;;;;;;;;;;;;;;;;
Water | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/water;"""Hi";I don't understand why the water level is so low this year. My house is located at [REDACTED]. I turn the vale all open and I have tried multiple times. Is there anything wrong? Thanks. Best regards;"Jane""";5;9/28/2017 18:47;Service Requests;;;;;;;;;;;;;;;;;;;;
"""October at The Cary Features Zombiepalooza";Sick Chicks;"Plus a Full Schedule of Indie Films & Live Music | News Releases | Town of Cary""";http://www.townofcary.org/Home/Components/News/News/13531/715;;1;10/2/2017 19:30;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;hi I looking for detail off fire box ...;4;10/4/2017 6:03;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Test;5;10/2/2017 19:19;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Hi;5;10/2/2017 19:20;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Online Utility Payment | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;;5;9/28/2017 19:02;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;4;10/1/2017 11:23;;;;;;;;;;;;;;;;;;;;;;;
Fire Station Locator | Town of Cary;http://www.townofcary.org/services-publications/fire/divisions/operations/fire-stations/fire-station-locator;;5;10/6/2017 13:13;;;;;;;;;;;;;;;;;;;;;;;
Public Information | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information;"""i have lost my italian reisdent permit";i made the complaint to the police;"how can i obtain the copy for this ?""";2;11/14/2017 9:51;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Online Utility Payment | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;"""Need to look at my bill";"unable to do so??""";1;11/12/2017 0:38;Service Requests;;;;;;;;;;;;;;;;;;;;;
Loose Leaf Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;Your leaf collection shows zones when you type address by doesn't give an date when it starts....awful website;1;11/5/2017 19:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Fares and Ticket Information | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service/fares-and-ticket-information;Is there a way to put in two addresses and the system tells you the best route?;1;11/13/2017 17:14;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Make a Payment | Town of Cary;http://www.townofcary.org/services-publications/make-a-payment;No;1;11/13/2017 17:53;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;https://www.townofcary.org;You;2;11/16/2017 8:14;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Take a Child Outside Week | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/take-a-child-outside-week;;4;11/14/2017 12:43;;;;;;;;;;;;;;;;;;;;;;;
Cary Dog Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;;3;11/4/2017 11:11;;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/faq;;1;11/14/2017 11:08;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;"""Our recycling was not picked up last week and we are overflowing. Will they pick it up this week";"or do we just throw our recycling our with the regular garbage?""";3;12/31/2017 20:20;Service Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;There is a new subdivision going in (intersection: Barbee Rd & Lewtershop Rd) but all I can find is the rezoning.;2;12/18/2017 18:33;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;Hip I er nas my hvf and adam want tack had past  yes I did my svf;5;1/1/2018 21:18;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;How do i unsubscride from these text msgs?;1;12/15/2017 15:33;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Holiday Schedule | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;12/25/2017 10:46;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/sewer/pretreatment/fats-oils-and-grease-control/sizing-and-design-requirements/residential-waste-cooking-oil-curbsid;;5;12/24/2017 10:26;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;;1;12/14/2017 14:09;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;12/28/2017 9:34;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;;5;12/19/2017 11:15;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/senior-center;;2;12/16/2017 10:26;;;;;;;;;;;;;;;;;;;;;;;
Water Rates and Utility Fees | Town of Cary;https://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/utility-rates-and-fees;I can't find where to get the form to complete to request to not pay the deposit amount for new customers;2;11/28/2017 13:32;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Yard Waste | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste;I didn't see any reference to where I can get rid of stone or brick.;2;11/24/2017 13:48;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes;I want to give my sister a paid registration and Open Studio pass for Christmas. She is a Cary resident and over 70. What is the cost of senior registration? I know the Open Studio is $20 for registered guests. Thank you.;4;12/8/2017 12:04;Service Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13593/19?npage=2;Is there anywhere to dispose of expired liquid medications other than the one day event?;3;12/6/2017 7:07;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;https://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;5;12/7/2017 8:57;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;https://www.townofcary.org/connect-engage/calendar/-curm-12/-cury-2017;;1;11/24/2017 11:19;;;;;;;;;;;;;;;;;;;;;;;
GoCary | Town of Cary;https://www.townofcary.org/services-publications/transit/gocary;;1;11/20/2017 16:43;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory/-sortn-SDepts/-sortd-asc/-seldept-11/-npage-4;;3;12/14/2017 13:40;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/home;;1;12/12/2017 18:26;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13788/715;What about trash collection for the rest of the week?;2;1/17/2018 16:46;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;no;1;1/15/2018 12:03;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;1/17/2018 8:52;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;https://www.townofcary.org;;1;1/12/2018 10:47;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;1/4/2018 10:58;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;1/16/2018 8:26;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;1/2/2018 7:35;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;1/13/2018 10:44;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/mayor-council/town-policies/boards-and-commissions-general-rules-of-order;;5;1/11/2018 14:19;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;3;1/7/2018 12:57;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/project-updates/wastewater-projects/opioid-wastewater-monitoring;Please update this page to include the award of the Bloomberg grant. Susan;3;2/22/2018 17:06;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;Easy to use!;5;2/23/2018 13:50;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/make-a-payment;Good evening;4;2/26/2018 21:29;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/kay-struffolino-park;;5;2/27/2018 12:59;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;3;2/25/2018 13:20;;;;;;;;;;;;;;;;;;;;;;;
Rates and Fees | Town of Cary;https://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/rates-and-fees;"""I am.looking for info and pricing on the tennis academy coaching for 15 to 18 year old players. We will be moving to the area this summer. Our son has been playing and training for a number of years";and enjoyed IMG academy summers in addition to tennis clubs and tournaments in our current home town. We are looking for a way for him to continue improving his game and progress when we move here. Please email us your fee structure and any additional info for the tennis academy. We would likke to know both options;"onlkine curriucum and after school hours. Tha k YOU [REDACTED]""";3;2/6/2018 20:17;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Jennifer Robinson | Town of Cary;https://www.townofcary.org/mayor-council/town-council/council-members/jennifer-robinson;"""Looking for a way to contact Jennifer Robinson. Virginia Johnson was kind to call me back. Thank you Virginia.  Also";"the """"Email Jennifer Robinson"""" on Jennifer's page does not respond and Virginia said she'd report it.  Thanks so much. I'll look for the form I need to fill out coming from Virginia.  Have a blessed week. Jim B""";5;2/2/2018 16:13;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Contact the Town | Town of Cary;https://www.townofcary.org/connect-engage/get-help;"""Hi";"I want apply for Water/Sever/Solid Waste Service to New Address? How Can I apply it on website? """;2;2/17/2018 18:36;Service Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/directory;"""How do I find a private road maintenance road agreement that is in place? Thank you";"[REDACTED]""";3;2/12/2018 12:12;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Ride Transit to RDU | Town of Cary;https://www.townofcary.org/services-publications/transit/gocary/fixed-route-service/ride-transit-to-rdu;what happened to finding the current fixed route scheduels for gocary buses online? it used to be very easy to pull up the bus schedule.;3;1/30/2018 21:05;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;Yes;5;2/19/2018 7:51;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Weigh in on Cary’s Proposed Open Data Policy | News Releases | Town of Cary;https://www.townofcary.org/Home/Components/News/News/13854/715;;5;2/12/2018 17:01;;;;;;;;;;;;;;;;;;;;;;;
Share & Care | Town of Cary;http://townofcary.org/recreation-enjoyment/events/special-events/share-care;;5;2/5/2018 22:15;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;https://www.townofcary.org;;1;2/15/2018 8:47;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service;;3;2/12/2018 8:42;;;;;;;;;;;;;;;;;;;;;;;
Marvelous Music | Town of Cary;https://www.townofcary.org/recreation-enjoyment/events/concerts/marvelous-music;"""It's so difficult to find where to actually buy tickets for events (Marvelous Music";"Ten Strings and a Goatskin.)""";1;1/20/2018 20:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/mayor-council;"""Hi";"I am looking for an online copy of  1/24 presentation of the Mayor's State of Cary address.  Mia""";5;1/26/2018 13:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;What is happening on 901?? It is not showing anything on the map but looks like the plot has been cleared of trees and a bridge added.;1;1/18/2018 19:24;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;what is the code for EZ reg for mustangs baseball?  9/10?;3;1/29/2018 11:08;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;Your request for feedback icon is covering up information on the popup.;2;1/30/2018 14:56;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/police/community-services/stranger-danger;it sucks;1;1/22/2018 13:11;Other Comments;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;https://www.townofcary.org/connect-engage/town-departments-offices/public-works/faq;;5;1/29/2018 14:28;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;;3;1/18/2018 13:55;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary;;1;1/25/2018 20:21;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/traffic;;2;1/21/2018 20:02;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : General Information;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/general-information;Inclement weather make up days for Cary tennis junior lessons;2;3/16/2017 13:23;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
